num,country,description,designation,points,price,region_1,region_2,title,variety,winery,lat,lng
524,US,"Wood spice, cherry and herb aromas are followed by luscious cherry flavors. It keeps you coming back for more with a high yum factor.",Wallula,91,35,Horse Heaven Hills,Columbia Valley,Structure 2014 Wallula Syrah (Horse Heaven Hills),Syrah,Structure,47.5679194,-122.3353815
530,Chile,"Jammy berry aromas seem reduced at first, with notes of iodine and rubber. But with airing this packed Syrah comes around. A flush saturated tannic palate is home to toasty blackened berry, coffee and spice flavors. On the finish, burnt toast and espresso flavors don't slip. Drink through 2022.",Cuvée Alexandre Apalta Vineyard Made With Organic Grapes,91,24,,,Lapostolle 2013 Cuvée Alexandre Apalta Vineyard Made With Organic Grapes Syrah (Colchagua Valley),Syrah,Lapostolle,35.949492,-78.988831
560,US,"As the name makes clear, this wine is made from a head-pruned, older block of very unlikely Syrah at the estate property, as seductive as rare. Plum, black cherry, leather and black pepper jump from the glass, slowly and with purpose, around a core of burly tannin and intensely floral aromatics. This is a great wine.",Headpruned Block,93,45,Russian River Valley,Sonoma,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Syrah,Limerick Lane,38.5882721,-122.8300018
564,US,"Spicy cracked peppercorns, light tar, fresh picked lavender and light purple fruits show on the savory nose of this bottling. More strong pepper notes show on the palate, as do tart elderberries, sesame, soy and hoisin elements, with a nice smoked meat character adding to the delicious complexity.",Fire Light,93,62,Paso Robles,Central Coast,Four Lanterns 2013 Fire Light Syrah (Paso Robles),Syrah,Four Lanterns,35.5690204,-120.7403535
628,Australia,"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",Alluvial Fans,92,35,McLaren Vale,,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale),Shiraz,Kangarilla Road,-35.2096978,138.6066107
636,Australia,"The Torbreck wines, with the emphasis they place on ripeness, can sometimes be controversial. This one is full bodied and rich, with dense plum and chocolate notes that verge on being fudge-like. But those elements are lifted slightly by hints of mint and bacon. Mocha joins the party on the long finish. Drink now–2025.",The Factor,92,125,Barossa Valley,,Torbreck 2010 The Factor Shiraz (Barossa Valley),Shiraz,Torbreck,-34.476955,138.950515
677,Italy,"Full-bodied and concentrated, this opens with aromas of crushed black plum, spicy blueberry, vanilla and dried sage. The dense, warm palate delivers dried black cherry, blackberry extract, oak and black pepper alongside velvety tannins. The soft acidity shows the heat of the vintage, so enjoy soon.",Smeriglio Riserva,90,50,Cortona,,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona),Syrah,Baracchi Riccardo,43.2906886,11.9712669
678,Italy,"Aromas of dark-skinned fruit, cedar and allspice lead the nose on this smooth, full-bodied red. The structured palate doles out mature black currant, black cherry, peppercorn and espresso that follow through to the finish. Soft acidity and ripe, firm tannins provide the framework. Drink 2016–2022.",Smeriglio,90,35,Cortona,,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona),Syrah,Baracchi Riccardo,43.2906886,11.9712669
681,US,"All Syrah, this blend of Yakima Valley and Wahluke Slope fruit offers aromas and flavors of cocoa, vanilla, pepper and dark cherry. The pleasing interplay of fruit and barrel comes with a soft, pillowy feel.",ALX,90,42,Columbia Valley (WA),Columbia Valley,Bunnell 2011 ALX Syrah (Columbia Valley (WA)),Syrah,Bunnell,47.7693282,-122.1502668
759,US,"A big burly Syrah from this Temecula producer whose goal it is to become the premier winery of Southern California, the wine is loaded with plummy black fruit and a peppery mouthfeel, its oakiness derived from the almost three years it spent barrel-aging in new French oak. Not for the meek at 15.6% alcohol, it finishes a tad sweet.","Reserve, Vista del Monte Vineyard",87,70,Temecula Valley,South Coast,"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)",Syrah,Monte De Oro,33.5453761,-117.0461618
760,US,"The blackberry, blueberry, bacon, pepper and sandalwood flavors are nice, and the wine finishes dry. A good, rich Syrah for drinking now if you're looking for a full-bodied and tannic red wine. Give it a brief decant.",Estate Grown,87,28,Dry Creek Valley,Sonoma,Mounts 2008 Estate Grown Syrah (Dry Creek Valley),Syrah,Mounts,38.6560516,-122.9460507
764,US,"A touch overripe, showing some bitter, dried raisinskin notes. If you can get past that, you'll find plenty of rich blackberry, dark chocolate, plum, beef jerky and black pepper flavors.",Cuvée Christine,87,45,North Coast,North Coast,Pax 2007 Cuvée Christine Syrah (North Coast),Syrah,Pax,38.403849,-122.8214796
801,US,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",Tawny Estate,90,50,Sonoma Valley,Sonoma,Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley),Syrah,Deerfield Ranch,38.4063036,-122.5419918
812,US,"This is a particularly expressive wine with lots of personality. It opens with aromas of cherry, tea and wood smoke, and tastes very dry and structured with vivid fruit acidity and tannins. Sour cherry and raspberry provide the fruit flavors.",Perli Vineyards,90,42,Mendocino Ridge,,Donkey & Goat 2013 Perli Vineyards Syrah (Mendocino Ridge),Syrah,Donkey & Goat,36.0733637,-79.1001572
838,US,"Despite the abv listed, this wine does not seem especially ripe. Peppery highlights carry a whiff of onion, and between the alcohol burn and the green edges, the wine has not come together. Aging in 40% new oak adds some toast, but not grip or density.",Les Collines Vineyard,86,36,Walla Walla Valley (WA),Columbia Valley,Kontos 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Kontos,46.0672222,-118.3394444
857,US,"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",,90,28,Santa Barbara County,Central Coast,Fess Parker 2013 Syrah (Santa Barbara County),Syrah,Fess Parker,34.742742,-120.11879
870,US,"This is an amazingly tasty and focused wine that has the most distinctive black pepper character. It's medium-bodied, dark and smoky looking and quite flavorful, backing up the pepper with lively raspberry notes and staying lively from the first sip to the last.",Estate Bottled,90,29,Mendocino Ridge,,Greenwood Ridge 2013 Estate Bottled Syrah (Mendocino Ridge),Syrah,Greenwood Ridge,39.0978796,-123.4843354
880,US,"Impressive for its depth and deliciousness. The grapes are from Cline's estate on the Sonoma side of the Carneros district. The wine is dry, full-bodied and tannic, although you can drink it now. It's very rich in blackberries, currants, mushu plum sauce, grilled beef and smoky sandalwood, and seems at its best now.",Sonoma Estate,90,20,Los Carneros,Napa-Sonoma,Cline 2008 Sonoma Estate Syrah (Los Carneros),Syrah,Cline,38.2141294,-122.458146
893,Australia,"This is an unusually complex Shiraz for the price, ably marrying meaty-savory notes with tart berries and plenty of weight on the palate. Crisp structure, finishes long, with lingering acids. Drink now–2018.",Heavy Metal,90,15,South Eastern Australia,,Hungerford Hill 2008 Heavy Metal Shiraz (South Eastern Australia),Shiraz,Hungerford Hill,-32.7778025,151.3361819
896,US,"Aged a little more than two years in 90% new French oak and then in bottle, time has been kind to this wine, a Syrah of dark mushroom and baked blackberry, that's savory and silky with a slight hint of mint on the finish. Mighty and impressive.",Signature Selection,90,70,Temecula Valley,South Coast,Leonesse Cellars 2007 Signature Selection Syrah (Temecula Valley),Syrah,Leonesse Cellars,33.5220983,-117.018857
897,US,"Dusty and tight, with a whiff of coffee and cocoa introducing an elegant wine with interesting streaks of metal and graphite. Young fruit and fine tannins are in perfect balance, and the wine has a lovely delicacy.",Dividend,90,39,Columbia Valley (WA),Columbia Valley,Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA)),Syrah,Market Vineyards,47.733966,-122.1413539
973,US,"A bit earthy and herbal, and soft, with cherry and cocoa fruit flavors. The acidity and tannin structure could be firmer.",Alexander School Reserve Big Barrel,85,35,Alexander Valley,Sonoma,Alexander Valley Vineyards 2006 Alexander School Reserve Big Barrel Syrah (Alexander Valley),Syrah,Alexander Valley Vineyards,38.65649,-122.786907
996,Italy,"Here's a Syrah with bursting aromas of mature blueberry, cherry, spice and smoked bacon. The wine is full, round and generous with a supple feel and soft concentration. Pair it with lamb or roasted pork.",Terre di Giumara,88,14,Sicilia,,Caruso & Minini 2006 Terre di Giumara Syrah (Sicilia),Syrah,Caruso & Minini,36.0930224,-79.3410481
997,Australia,"Blended from a patchwork of old vineyards throughout the Barossa, this is typical Barossa Shiraz, with plenty of weight and creamy tannins that support plummy, chocolaty fruit. There's a bit of spice for complexity and a crisp, fresh finish. Drink now–2014.",Patchwork,88,18,Barossa,,Yalumba 2006 Patchwork Shiraz (Barossa),Shiraz,Yalumba,-34.5131355,139.0565116
1074,Australia,"Sourced from vines planted in 1847, this is a full-bodied, open-knit wine, supple and velvety in texture. Vanilla cream and black cherries mark the nose, while the flavors are more savory, resembling black olives and grilled meat. It's long and lush on the finish. Drink it now through 2025.",Moorooroo,94,100,Barossa Valley,,Schild Estate 2013 Moorooroo Shiraz (Barossa Valley),Shiraz,Schild Estate,-34.5912651,138.8609345
1082,US,"Lighter in color, this wine is aromatic and expressive, with notes of fire pit, blood, black olive tapenade, sea salt, black pepper, cured meat, nori, crushed flowers and umami. The palate brings soft, lithe, focused notes of earth and savory flavors that shimmer on the salty finish. It's all about delicacy but the aroma and flavor expression is compelling. Give it some time in the cellar or decant.",The Tribe Vineyard,94,120,Walla Walla Valley (OR),Oregon Other,Horsepower 2014 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Horsepower,46.067169,-118.338774
1088,US,"The aromas of this wine leap from the glass, with notes of orange peel, potpourri, smoked meat, spice, fresh herb, stem, ash and plum. It's expressive, but still wound up. The flavors are focused, concentrated and savory, bringing a sense of intensity and richness but also lightness. The balance is exquisite.",Cailloux Vineyard,94,85,Walla Walla Valley (OR),Oregon Other,Cayuse 2014 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,46.067169,-118.338774
1104,France,"This is as perfumed an example of Syrah as you'll find from the Southern Rhône. Hints of herbs, spice and violets accent blueberry fruit in this charming wine. It's medium in body—not that rich but or layered but supple, silky and easily accessible. Drink this through the end of 2015.",Les Piliers,90,15,Costières de Nîmes,,Michel Gassier 2012 Les Piliers Syrah (Costières de Nîmes),Syrah,Michel Gassier,43.7918532,4.3728858
1216,US,"From the Barton family's estate vineyard, this is a very dark Syrah with aromas of blackberry, balsamic, lavender and thyme flowers. There's a rich blueberry flavor at the core of the palate, where cocoa shavings, tense tannins and a lilac florals combine for a multi-layered wine.",Paradise City,93,60,Paso Robles Willow Creek District,Central Coast,Barton 2013 Paradise City Syrah (Paso Robles Willow Creek District),Syrah,Barton,35.5732449,-120.7350846
1219,US,"Scott Sampler's experimentation with extra long macerations seem to imbue even more of a sense of place to his wines. In this case, that translates to very purple aromas of grape Jolly Ranchers, violet oil and warm black licorice. An exotic Indian-candy spice shows on the tip of the sip, leading into rich blueberry and fresh purple-flower flavors, with coffee and cocoa on the finish.",Fauve Thompson Vineyard,93,75,Santa Barbara County,Central Coast,Central Coast Group Project 2013 Fauve Thompson Vineyard Syrah (Santa Barbara County),Syrah,Central Coast Group Project,34.6110454,-120.2025395
1298,US,"This complex, flavorful wine walks on the wild side with a bit of funky barnyard in the aromas and flavors. It's dry, moderately tannic, rather light in body, and brings spicy black pepper, grilled beef and ripe plum flavors.",Estate Grown,89,36,Fair Play,Sierra Foothills,Cedar Creek 2011 Estate Grown Syrah (Fair Play),Syrah,Cedar Creek,39.0134386,-78.4874677
1324,US,"Made from 100% estate grapes, this wine is shy in aroma but happily light and bright on the palate. It's delicate yet framed by firm tannins, showing blueberry and toasty oak flavors and nuanced acidity.",Ampelos Vineyard,90,35,Sta. Rita Hills,Central Coast,Ampelos 2013 Ampelos Vineyard Syrah (Sta. Rita Hills),Syrah,Ampelos,34.642532,-120.437836
1333,US,"Meat, compost and leather notes mark the entry of this Syrah blended with smaller amounts of Mourvèdre and Petite Sirah. Light black pepper and red fruit flavors are sustained by a soft, round texture and lingering finish.",,90,38,Russian River Valley,Sonoma,Crux 2013 Syrah (Russian River Valley),Syrah,Crux,38.6766962,-122.8631859
1371,US,"Intriguing all around, this displays earthy notes of truffle and meat on the nose, and balanced flavors of full raspberry and spicy caramel on the palate. Though a touch angular, the wine has elegance and good fruit.",,86,28,Pennsylvania,,Chaddsford 2005 Syrah (Pennsylvania),Syrah,Chaddsford,39.8726021,-75.6268546
1464,US,"From a warm-climate zone in a cool vintage, this wine is fascinatingly savory. Black and white pepper, game meat, crushed graphite and espresso aromas promise an awesome sip. It delivers with black peppercorn, green olive, black plum skin and elderberry flavors.",,93,38,Arroyo Seco,Central Coast,Mesa Del Sol 2011 Syrah (Arroyo Seco),Syrah,Mesa Del Sol,36.2569541,-121.4176944
1539,US,Barrel toast and smoky gunpowder scents give this wine a savory edginess before revealing medium-bodied layers of baked blackberry and cherry.,,85,11,Sonoma County,Sonoma,Cline 2015 Syrah (Sonoma County),Syrah,Cline,38.2141294,-122.458146
1586,US,"Ripe, luscious black cherries and berries are framed by whispers of bramble and tannin in this enticingly fruity, forward Syrah. A showcase of fresh, primary fruit, it's juicy and delightfully gulp-worthy. Drink now through 2017.",Sawmill Creek Vineyards,88,34,Finger Lakes,Finger Lakes,Billsboro 2013 Sawmill Creek Vineyards Syrah (Finger Lakes),Syrah,Billsboro,42.7985969,-76.9793159
1672,US,"Quady North's Flagship is what the owners consider the best lot of wine of the year. Generously slathered in toasty new oak, this very limited (two barrel) reserve from the estate's Frank's Vineyard is not the blockbuster of the previous vintage, but shows exceptional winemaking skills. Black cherry fruit is wrapped in woody tannins, a yin-yang combination that works by dissonance rather than harmony.",Flagship,90,65,Applegate Valley,Southern Oregon,Quady North 2007 Flagship Syrah (Applegate Valley),Syrah,Quady North,42.313854,-122.965986
1675,France,"Like many of the '07 Hermitages, this isn't a huge wine, but instead shows a nice sense of proportion, marrying hickory smoke with touches of cracked peppercorns, cedar and roasted beef. Drink now–2020.",,90,126,Hermitage,,Tardieu-Laurent 2007  Hermitage,Syrah,Tardieu-Laurent,43.764144,5.369288
1698,Italy,"As much as Tuscany and Syrah seem to be a match made in heaven, this wine is lower in overall intensity and rather neutral in aromas. Pretty cherry-berry and fine wood nuances are measured and understated. Firm structure and tannins, with a tart cherry note on the close.",Solista,86,85,Toscana,,Terralsole 2005 Solista Syrah (Toscana),Syrah,Terralsole,43.018783,11.536556
1715,Israel,"Raspberry and cherry mingle with essence of mocha, tomato and pepper. Solid structure, full flavors and smooth tannins create a clean yet gripping texture, finishing strong and lengthy.",Kosher Reserve,85,23,,,Recanati 2004 Kosher Reserve Shiraz (Galilee),Shiraz,Recanati,32.4048824,34.8967208
1723,Australia,"Tart blackberry and vanilla flavors mark this bold Shiraz that shows its 14.5% alcohol. There's a rubbery note on the nose that's a bit distracting but should be taken care of by a quick decanting, while black olive and coffee notes emerge on the slightly warm finish.",Nine Gums Vineyard,85,30,McLaren Vale,,Brick Road 2005 Nine Gums Vineyard Shiraz (McLaren Vale),Shiraz,Brick Road,29.7552207,-96.119136
1734,US,"Whereas many Syrahs from this vintage from the Rocks District show more fruit than usual, this wine is clearly rooted in the stones. It's aromatically expressive with black olive, crushed flowers, mineral, black pepper and an earthy funk. Flavors are silky soft in feel, with a well-balanced mixture of fruit and savory notes that leads to a lingering finish.",Some Days Are Stones Stoney Vine Vineyard,92,40,Walla Walla Valley (WA),Columbia Valley,Two Vintners 2012 Some Days Are Stones Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Two Vintners,47.762225,-122.1497034
1735,US,"This blend of Les Collines (60%), Lewis (20%) and Portteus (20%) vineyards, which saw 25% new French oak, offers blueberry and huckleberry along with herb and dark chocolate accents. It's supple and soft in feel, deft but with depth to the fruit flavors.",,92,40,Columbia Valley (WA),Columbia Valley,Va Piano 2012 Syrah (Columbia Valley (WA)),Syrah,Va Piano,46.003999,-118.371124
1739,US,"The aging program for this Syrah, which comes from a vineyard near the intersection of the Carmel and Salinas valleys, results in a solidly balanced wine. Pepper, boysenberry and game consume the nose, with blackberry fruit, mint, tobacco and a greenish bitterness keeping the palate interesting.",,92,29,Arroyo Seco,Central Coast,Mesa Del Sol 2009 Syrah (Arroyo Seco),Syrah,Mesa Del Sol,36.2569541,-121.4176944
1769,Chile,"Flat boysenberry and plum aromas are jammy and a bit floral. This feels clipped and rugged, with reedy plum and raspberry flavors that finish short.",Grand Reserve,84,15,,,Château Los Boldos 2013 Grand Reserve Syrah (Cachapoal Valley),Syrah,Château Los Boldos,35.949492,-78.988831
1792,US,"Half was whole-cluster fermented, yielding dense scents and flavors with black olive, herb and a touch of mocha. Cranberry, raspberry and cherry fruit flavors are smooth and detailed, and the tannins firm and polished.",,91,29,Walla Walla Valley (WA),Columbia Valley,Amavi 2011 Syrah (Walla Walla Valley (WA)),Syrah,Amavi,46.0161505,-118.3837849
1853,US,"Volatile and sharp, this well-aged (though current) release tastes of vanilla, maple syrup and cut tobacco. After lengthy aging (48 months) in 60% new oak, the wood flavors have taken over.",,83,25,Rogue Valley,Southern Oregon,EdenVale 2007 Syrah (Rogue Valley),Syrah,EdenVale,42.2900233,-122.8458387
1875,Italy,"One of the nicest Syrahs to come from Italy, Marchesale is a rich, inky wine with intense aromas of cherry, blueberry, cola, chocolate and leather. Balanced softness and freshness characterize the finish.",Marchesale,93,80,Toscana,,Terre del Marchesato 2008 Marchesale Syrah (Toscana),Syrah,Terre del Marchesato,43.214838,10.581393
1877,Italy,"This 100% Syrah from sunny coastal Tuscany offers extreme softness and richness with chocolate, cherry liqueur, blueberry and smoked bacon fat. Pair this rich wine with game meat or stew.",,93,,Toscana,,Campo al Noce 2008 Syrah (Toscana),Syrah,Campo al Noce,43.221838,10.58125
1882,US,"A delicious Syrah in the classic mold of Columbia Valley fruit. Solid and sappy, it's a mouthful of bright berry flavors, penetrating into layers of licorice, coffee and chocolate. The liquorous finish is rich and balanced, with a hint of heat.",,93,28,Columbia Valley (WA),Columbia Valley,Dunham 2008 Syrah (Columbia Valley (WA)),Syrah,Dunham,46.089097,-118.2783669
1886,Australia,"Big, bold and structured, this is a dry yet mouthwatering beast of a Shiraz, its blackberry, mocha and black olive notes held in check by firm tannins. Give it 3–4 years in the cellar, then drink it over the next several years.",Reserve,93,50,Padthaway,,Henry's Drive Vignerons 2008 Reserve Shiraz (Padthaway),Shiraz,Henry's Drive Vignerons,-34.9824138,138.7335753
1934,Australia,"Mint marks the nose of this otherwise darkly attractive wine. Notes of mocha and plum nicely set up the wine, as do the supple tannins, but then there's a jarring edge of prickly acidity that cuts across the palate and disrupts the flow. There are some nice parts here that don't quite come together.",Reiver,87,53,Barossa Valley,,Mitolo 2009 Reiver Shiraz (Barossa Valley),Shiraz,Mitolo,-35.2286753,138.5664969
1983,Italy,"This Syrah offers bright tones of leather, cured meat and blackberry. Smooth and long-lasting, the palate boasts loads of bright berries.",Schietto,88,19,Sicilia,,Principi di Spadafora 2007 Schietto Syrah (Sicilia),Syrah,Principi di Spadafora,37.8953125,13.0303125
2001,Spain,"Dusty aromas of red cherry are muddled by oaky notes of plastic and latex. A jumpy, bright palate is rudimentary, as are lightly spiced plum and raspberry flavors. A fresh, dry, basic finish seems appropriate.",Oak Aged,84,10,Vino de la Tierra de Castilla,,Mureda 2012 Oak Aged Syrah (Vino de la Tierra de Castilla),Syrah,Mureda,38.9069036,-3.3871465
2077,US,"Opulence is the reserve Syrah, a firm and juicy wine with dark, smoky, wild berry flavors. It's gamy and brambly, chewy and tart, and it has the length and polish to sustain your interest through glass after glass.",Opulence,90,40,Washington,Washington Other,Coeur d'Alene 2006 Opulence Syrah (Washington),Syrah,Coeur d'Alene,47.712147,-116.799609
2191,US,"Black-cherry-cola aromas along with lots of licorice and Dr Pepper spice show on the nose of this bottling from a relatively new winery in northeast Paso Robles. There is slight sweetness to the palate, with baked cherry and baking-spice flavors. Accents of dried blackberry, leather, dried meat and purple flower add complexity.",Reserve,89,35,Paso Robles,Central Coast,Record Family Wines 2014 Reserve Syrah (Paso Robles),Syrah,Record Family Wines,35.7100089,-120.6138082
2256,Australia,"Not a wine for the faint of heart. Alluring notes of raspberry, blackberry, smoke and coconut set the scene for powerful flavors of strawberry and black pepper in the mouth. Tannins are abundant but polished. The finish is a bit of a disappointment, with a whisper of astringency and a huge hit of coconut. Still, well done and fairly priced. Drink with steak.",,87,16,McLaren Vale,,Ballast Stone Estate Wines 2006 Shiraz (McLaren Vale),Shiraz,Ballast Stone Estate Wines,-35.4549895,138.8058508
2304,US,"Negociant Hughes continues to produce compelling wines at everyday prices. This Syrah, from one of Napa Valley's best mountain regions, is dry and thick in refined tannins. But it's so rich in black currants, black cherries, chocolate, pepper and sweet, smoky oak that it's delicious now.",Lot 113,90,14,Mount Veeder,Napa,Cameron Hughes 2006 Lot 113 Syrah (Mount Veeder),Syrah,Cameron Hughes,37.7667656,-122.4024757
2333,US,"Lighter in color and body than many counterparts, this wine presents a sour blackberry and woody herb nose. Black olives, elderberries, cedar and black pepper beef flavors show on the gravelly palate.",,85,32,South Coast,South Coast,Hawk Watch Winery 2012 Syrah (South Coast),Syrah,Hawk Watch Winery,33.372109,-116.7441
2355,US,"Impressive for its power, a wine of considerable interest and complexity. It's rich in black cherries, red currants, cola, bacon and spice flavors, but the texture really stands up, a combination of firm tannins and brilliant acidity. Oak provides complicating notes of sweet toast. Drink soon.",Exuberance,88,45,Sonoma Valley,Sonoma,Canihan 2009 Exuberance Syrah (Sonoma Valley),Syrah,Canihan,38.273313,-122.431212
2454,US,"You'd swear this 100% varietal wine had some Viognier in it, but the orange-peel aromas and flavors are just a hallmark of Yakima Valley fruit. It also features abundant cranberry, mulberry, rose hip and savory notes. The supple feel with light meat accents is where this wine really shines, showing purity, texture and a lot of elegance. Those looking for big fruit, look elsewhere.",Copeland Vineyard,90,25,Yakima Valley,Columbia Valley,Two Mountain 2012 Copeland Vineyard Syrah (Yakima Valley),Syrah,Two Mountain,46.4368164,-120.2708172
2502,US,"Aromas of cocoa, spice, vanilla and dark fruit lead, with the oak (20% new French and American) playing a significant role. The blue-fruit flavors are plump in feel, narrowing toward the finish.",,88,16,Columbia Valley (WA),Columbia Valley,Waterbrook 2013 Syrah (Columbia Valley (WA)),Syrah,Waterbrook,46.0537843,-118.5577327
